clustering cumul_peers
0.0714285714285714 1
0.0892857142857143 2
0.0892857142857143 3
0.0892857142857143 4
0.0892857142857143 5
0.107142857142857 6
0.107142857142857 7
0.125 8
0.125 9
0.125 10
0.142857142857143 11
0.142857142857143 12
0.142857142857143 13
0.142857142857143 14
0.142857142857143 15
0.142857142857143 16
0.142857142857143 17
0.142857142857143 18
0.160714285714286 19
0.160714285714286 20
0.160714285714286 21
0.160714285714286 22
0.178571428571429 23
0.178571428571429 24
0.178571428571429 25
0.178571428571429 26
0.178571428571429 27
0.178571428571429 28
0.178571428571429 29
0.196428571428571 30
0.196428571428571 31
0.196428571428571 32
0.196428571428571 33
0.196428571428571 34
0.196428571428571 35
0.214285714285714 36
0.214285714285714 37
0.214285714285714 38
0.214285714285714 39
0.214285714285714 40
0.232142857142857 41
0.232142857142857 42
0.232142857142857 43
0.25 44
0.25 45
0.285714285714286 46
0.285714285714286 47
0.285714285714286 48
0.285714285714286 49
0.321428571428571 50
