Clustering Node
0.0535714285714286 1
0.0892857142857143 2
0.107142857142857 3
0.107142857142857 4
0.125 5
0.125 6
0.142857142857143 7
0.142857142857143 8
0.142857142857143 9
0.142857142857143 10
0.160714285714286 11
0.160714285714286 12
0.178571428571429 13
0.178571428571429 14
0.178571428571429 15
0.178571428571429 16
0.178571428571429 17
0.178571428571429 18
0.178571428571429 19
0.196428571428571 20
0.196428571428571 21
0.196428571428571 22
0.196428571428571 23
0.196428571428571 24
0.196428571428571 25
0.214285714285714 26
0.214285714285714 27
0.214285714285714 28
0.214285714285714 29
0.214285714285714 30
0.214285714285714 31
0.214285714285714 32
0.214285714285714 33
0.214285714285714 34
0.232142857142857 35
0.232142857142857 36
0.232142857142857 37
0.232142857142857 38
0.25 39
0.25 40
0.267857142857143 41
0.267857142857143 42
0.267857142857143 43
0.267857142857143 44
0.267857142857143 45
0.285714285714286 46
0.285714285714286 47
0.303571428571429 48
0.321428571428571 49
0.321428571428571 50
