0	1	0.02
5	2	0.04
5	3	0.06
5	4	0.08
5	5	0.1
5	6	0.12
5	7	0.14
5	8	0.16
5	9	0.18
5	10	0.2
5	11	0.22
6	12	0.24
8	13	0.26
8	14	0.28
8	15	0.3
8	16	0.32
8	17	0.34
9	18	0.36
9	19	0.38
9	20	0.4
9	21	0.42
10	22	0.44
10	23	0.46
10	24	0.48
10	25	0.5
10	26	0.52
10	27	0.54
10	28	0.56
10	29	0.58
10	30	0.6
11	31	0.62
11	32	0.64
11	33	0.66
11	34	0.68
11	35	0.7
12	36	0.72
12	37	0.74
12	38	0.76
13	39	0.78
13	40	0.8
13	41	0.82
13	42	0.84
14	43	0.86
14	44	0.88
14	45	0.9
14	46	0.92
14	47	0.94
15	48	0.96
15	49	0.98
16	50	1
