0	1	0.025
18	2	0.05
20	3	0.075
21	4	0.1
23	5	0.125
29	6	0.15
34	7	0.175
34	8	0.2
38	9	0.225
39	10	0.25
43	11	0.275
43	12	0.3
43	13	0.325
45	14	0.35
45	15	0.375
46	16	0.4
46	17	0.425
46	18	0.45
46	19	0.475
46	20	0.5
47	21	0.525
47	22	0.55
47	23	0.575
48	24	0.6
48	25	0.625
48	26	0.65
48	27	0.675
50	28	0.7
51	29	0.725
51	30	0.75
52	31	0.775
53	32	0.8
54	33	0.825
55	34	0.85
56	35	0.875
57	36	0.9
57	37	0.925
59	38	0.95
59	39	0.975
63	40	1
66	41	1.025
70	42	1.05
71	43	1.075
72	44	1.1
106	45	1.125
106	46	1.15
109	47	1.175
110	48	1.2
113	49	1.225
114	50	1.25
