0	1	0.02
4	2	0.04
4	3	0.06
5	4	0.08
7	5	0.1
7	6	0.12
7	7	0.14
8	8	0.16
9	9	0.18
9	10	0.2
9	11	0.22
9	12	0.24
10	13	0.26
10	14	0.28
10	15	0.3
12	16	0.32
12	17	0.34
12	18	0.36
13	19	0.38
13	20	0.4
13	21	0.42
14	22	0.44
14	23	0.46
14	24	0.48
14	25	0.5
14	26	0.52
15	27	0.54
15	28	0.56
15	29	0.58
15	30	0.6
15	31	0.62
16	32	0.64
16	33	0.66
17	34	0.68
18	35	0.7
18	36	0.72
19	37	0.74
19	38	0.76
20	39	0.78
20	40	0.8
21	41	0.82
22	42	0.84
22	43	0.86
24	44	0.88
24	45	0.9
27	46	0.92
28	47	0.94
28	48	0.96
29	49	0.98
31	50	1
