0	1	0.025
5	2	0.05
5	3	0.075
5	4	0.1
6	5	0.125
7	6	0.15
7	7	0.175
8	8	0.2
10	9	0.225
10	10	0.25
10	11	0.275
10	12	0.3
10	13	0.325
11	14	0.35
11	15	0.375
11	16	0.4
11	17	0.425
11	18	0.45
12	19	0.475
12	20	0.5
12	21	0.525
12	22	0.55
13	23	0.575
13	24	0.6
14	25	0.625
15	26	0.65
15	27	0.675
16	28	0.7
16	29	0.725
16	30	0.75
19	31	0.775
19	32	0.8
20	33	0.825
21	34	0.85
23	35	0.875
27	36	0.9
38	37	0.925
62	38	0.95
63	39	0.975
63	40	1
63	41	1.025
64	42	1.05
67	43	1.075
70	44	1.1
70	45	1.125
80	46	1.15
81	47	1.175
82	48	1.2
83	49	1.225
84	50	1.25
