0	1	0.02
1	2	0.04
1	3	0.06
1	4	0.08
2	5	0.1
2	6	0.12
2	7	0.14
2	8	0.16
3	9	0.18
4	10	0.2
5	11	0.22
5	12	0.24
5	13	0.26
5	14	0.28
5	15	0.3
6	16	0.32
6	17	0.34
7	18	0.36
7	19	0.38
8	20	0.4
11	21	0.42
12	22	0.44
12	23	0.46
12	24	0.48
12	25	0.5
12	26	0.52
12	27	0.54
12	28	0.56
13	29	0.58
15	30	0.6
15	31	0.62
18	32	0.64
26	33	0.66
26	34	0.68
26	35	0.7
30	36	0.72
32	37	0.74
41	38	0.76
47	39	0.78
51	40	0.8
51	41	0.82
72	42	0.84
80	43	0.86
91	44	0.88
94	45	0.9
95	46	0.92
96	47	0.94
109	48	0.96
117	49	0.98
119	50	1
