0	1	0.02
4	2	0.04
4	3	0.06
8	4	0.08
8	5	0.1
8	6	0.12
8	7	0.14
9	8	0.16
9	9	0.18
9	10	0.2
10	11	0.22
10	12	0.24
10	13	0.26
10	14	0.28
10	15	0.3
10	16	0.32
10	17	0.34
12	18	0.36
12	19	0.38
12	20	0.4
12	21	0.42
12	22	0.44
12	23	0.46
12	24	0.48
12	25	0.5
12	26	0.52
12	27	0.54
12	28	0.56
12	29	0.58
13	30	0.6
13	31	0.62
13	32	0.64
13	33	0.66
13	34	0.68
14	35	0.7
14	36	0.72
14	37	0.74
15	38	0.76
15	39	0.78
15	40	0.8
15	41	0.82
15	42	0.84
16	43	0.86
17	44	0.88
18	45	0.9
18	46	0.92
18	47	0.94
23	48	0.96
26	49	0.98
27	50	1
